loc, name, snsr name
49.979512657 19.676188717, REFERENCE-0,
49.979242816 19.676184494, REFERENCE-1,
49.979245540 19.675766182, REFERENCE-2,
49.979515382 19.675770403, REFERENCE-3,
49.980662364 19.676855537, SECTION1-0,
49.980212692 19.676848492, SECTION1-1,
49.980214608 19.676554455, SECTION1-2,
49.980664281 19.676561496, SECTION1-3,
49.980212692 19.676848492, SECTION2-0,
49.979763019 19.676841448, SECTION2-1,
49.979764936 19.676547413, SECTION2-2,
49.980214608 19.676554455, SECTION2-3,
49.979763019 19.676841448, SECTION3-0,
49.979313346 19.676834436, SECTION3-1,
49.979315263 19.676540372, SECTION3-2,
49.979764936 19.676547413, SECTION3-3,
49.979760185 19.677276002, SECTION4-0,
49.979310512 19.677268954, SECTION4-1,
49.979312619 19.676945925, SECTION4-2,
49.979762292 19.676953002, SECTION4-3,
49.980209857 19.677283050, SECTION5-0,
49.979760185 19.677276002, SECTION5-1,
49.979762292 19.676953002, SECTION5-2,
49.980211964 19.676960048, SECTION5-3,
49.980659530 19.677290099, SECTION6-0,
49.980209857 19.677283050, SECTION6-1,
49.980211964 19.676960048, SECTION6-2,
49.980661637 19.676967093, SECTION6-3,
49.980659530 19.677290099, SECTION7-0,
49.980735228 19.677271924, SECTION7-1,
49.980802889 19.677217248, SECTION7-2,
49.980855355 19.677132583, SECTION7-3,
49.980887506 19.677027634, SECTION7-4,
49.980896744 19.676913787, SECTION7-5,
49.980883026 19.676802578, SECTION7-6,
49.980848523 19.676704429, SECTION7-7,
49.980797109 19.676627833, SECTION7-8,
49.980733799 19.676578949, SECTION7-9,
49.980664281 19.676561496, SECTION7-10,
49.980662364 19.676855537, SECTION7-11,
49.980673347 19.676857807, SECTION7-12,
49.980683484 19.676865240, SECTION7-13,
49.980691739 19.676877324, SECTION7-14,
49.980697198 19.676892989, SECTION7-15,
49.980699197 19.676910693, SECTION7-16,
49.980697438 19.676928575, SECTION7-17,
49.980692059 19.676944688, SECTION7-18,
49.980683638 19.676957265, SECTION7-19,
49.980673110 19.676964968, SECTION7-20,
49.980661637 19.676967093, SECTION7-21,
49.979315263 19.676540372, SECTION8-0,
49.979245532 19.676555644, SECTION8-1,
49.979160458 19.676556448, SECTION8-2,
49.978845114 19.676255375, SECTION8-3,
49.978826732 19.676285999, SECTION8-4,
49.979046889 19.676750295, SECTION8-5,
49.979078254 19.676885298, SECTION8-6,
49.979086007 19.676999406, SECTION8-7,
49.979116782 19.677105338, SECTION8-8,
49.979168132 19.677191627, SECTION8-9,
49.979235066 19.677248411, SECTION8-10,
49.979310512 19.677268954, SECTION8-11,
49.979312619 19.676945925, SECTION8-12,
49.979301422 19.676942339, SECTION8-13,
49.979291622 19.676933620, SECTION8-14,
49.979284128 19.676920803, SECTION8-15,
49.979279562 19.676905239, SECTION8-16,
49.979278248 19.676888431, SECTION8-17,
49.979280222 19.676871898, SECTION8-18,
49.979285262 19.676857071, SECTION8-19,
49.979292923 19.676845228, SECTION8-20,
49.979302558 19.676837425, SECTION8-21,
49.979313346 19.676834436, SECTION8-22,
49.979564903 19.677329416, SENSORS1-0,
49.979541507 19.677260998, SENSORS1-1,
49.979557828 19.677228137, SENSORS1-2,
49.979565502 19.677228257, SENSORS1-3,UT24
49.979541858 19.677207187, SENSORS1-4,
49.979558101 19.677185095, SENSORS1-5,
49.979565756 19.677185216, SENSORS1-6,UT25
49.979542128 19.677165717, SENSORS1-7,
49.979558905 19.677149672, SENSORS1-8,
49.979566067 19.677132353, SENSORS1-9,UT26
49.979557318 19.677132215, SENSORS1-10,
49.979566378 19.677079364, SENSORS1-11,UT27
49.979566659 19.677031953, SENSORS1-12,UT28
49.979532137 19.677119338, SENSORS1-13,SV5
49.979568689 19.676739947, SENSORS1-14,UT30
49.979536161 19.676697389, SENSORS1-15,SV6
49.979569016 19.676689748, SENSORS1-16,UT31
49.979559141 19.676689596, SENSORS1-17,
49.979535490 19.676669330, SENSORS1-18,
49.979543069 19.676652836, SENSORS1-19,
49.979560323 19.676635046, SENSORS1-20,
49.979569337 19.676635186, SENSORS1-21,UT32
49.979543340 19.676611366, SENSORS1-22,
49.979560623 19.676587699, SENSORS1-23,
49.979569615 19.676587839, SENSORS1-24,UT33
49.979542418 19.676557536, SENSORS1-25,
49.979570201 19.676487955, SENSORS1-26,
49.979568385 19.676786576, SENSORS1-27,UT29
49.979973022 19.677351187, SENSORS2-0,UT34
49.979973111 19.677335820, SENSORS2-1,
49.979964526 19.677266287, SENSORS2-2,
49.979941453 19.677267266, SENSORS2-3,
49.979973705 19.677237257, SENSORS2-4,UT11
49.979964712 19.677237116, SENSORS2-5,
49.979941804 19.677213455, SENSORS2-6,
49.979964882 19.677208739, SENSORS2-7,
49.979973876 19.677208880, SENSORS2-8,UT12
49.979974062 19.677177778, SENSORS2-9,UT13
49.979965069 19.677177637, SENSORS2-10,
